id; subtype; type; rarity; carry_limit; carry_limit_twisted; sort_order; flags; icon_id; icon_color; sell_price; buy_price; name; description
0; 0; 1; 0; 1; 1; 0; 8192; 255; 0; 0; 0; --------; Unavailable
1; 0; 0; 0; 10; 10; 1; 8; 5; 2; 8; 66; Potion; Restores a small amount of health.
2; 0; 0; 1; 10; 10; 2; 72; 5; 2; 16; 165; Mega Potion; Restores a moderate amount of health.
3; 0; 0; 2; 2; 2; 3; 8; 62; 4; 210; 2138; Max Potion; Fully restores health and maximizes the size of your Health Gauge.
4; 0; 0; 4; 1; 1; 4; 72; 62; 4; 345; 3454; Ancient Potion; Fully restores health and maximizes the size of your Health and Stamina Gauges.
5; 0; 0; 0; 10; 10; 5; 8; 5; 3; 6; 60; Antidote; A cure for poison.
6; 0; 0; 1; 5; 5; 6; 8; 62; 3; 25; 250; Herbal Medicine; Removes all traces of poison and restores a slight amount of health.
7; 0; 0; 1; 10; 10; 7; 12; 21; 3; 120; 1200; Nulberry; A mysterious berry that cures various blights.
8; 0; 0; 1; 10; 10; 8; 8; 5; 9; 6; 60; Energy Drink; A Guild-approved beverage that boosts your stamina. Helps shake off sleep, too!
9; 0; 0; 0; 10; 10; 9; 12; 7; 11; 3; 30; Ration; Food that restores a bit of stamina.
10; 0; 0; 0; 10; 10; 10; 12; 7; 24; 3; 30; Rare Steak; Provides a moderate boost to your stamina. This one's still red in the middle.
11; 0; 0; 1; 10; 10; 11; 12; 7; 7; 48; 96; Well-done Steak; Provides a moderate boost to your stamina and keeps it at max for a longer period. Meat done right!
12; 0; 0; 0; 10; 10; 12; 12; 7; 10; 1; 10; Burnt Meat; Provides a small boost to your stamina. Can be eaten quickly.
13; 0; 0; 0; 5; 5; 13; 8; 5; 0; 30; 300; Cool Drink; Provides temporary relief from extreme heat.
14; 0; 0; 1; 5; 5; 15; 8; 5; 6; 25; 760; Nutrients; Very slightly increases your maximum health level.
15; 0; 0; 2; 5; 5; 16; 72; 5; 6; 92; 920; Mega Nutrients; Slightly increases your maximum health level.
16; 0; 0; 2; 10; 10; 17; 8; 5; 24; 92; 923; Immunizer; Boosts your natural ability to heal.
